Artist,Single,Release Year,Sales (in millions),Artist(s),Title (Spotify),Popularity
Bing Crosby,White Christmas,1942,50.0,"Bing Crosby, Ken Darby Singers, John Scott Trotter & His Orchestra",White Christmas,72
Elton John,Candle in the Wind 1997 / Something About the Way You Look Tonight,1997,33.0,Elton John,Something About The Way You Look Tonight - Edit Version,60
Mungo Jerry,In the Summertime,1970,30.0,Mungo Jerry,In the Summertime,67
Bing Crosby,Silent Night,1935,30.0,Bing Crosby,Silent Night,47
Bill Haley & His Comets,Rock Around the Clock,1954,25.0,Bill Haley & His Comets,(We're Gonna) Rock Around The Clock,61
Whitney Houston,I Will Always Love You,1992,20.0,Whitney Houston,I Will Always Love You,77
Elvis Presley,It's Now or Never,1960,20.0,Elvis Presley,It's Now or Never,61
USA for Africa,We Are the World,1985,20.0,Fernando Pereira,We Are the World Usa for Africa,26
The Ink Spots,If I Didn't Care,1939,19.0,The Ink Spots,If I Didn't Care,51
Baccara,"Yes Sir, I Can Boogie",1977,18.0,Baccara,"Yes Sir, I Can Boogie",54
Celine Dion,My Heart Will Go On,1997,18.0,"James Horner, Céline Dion","My Heart Will Go On - Love Theme from ""Titanic""",39
Mariah Carey,All I Want for Christmas Is You,1994,16.0,Mariah Carey,All I Want for Christmas Is You,83
Bryan Adams,(Everything I Do) I Do It for You,1991,15.0,Bryan Adams,(Everything I Do) I Do It For You,66
John Travolta,You're the One That I Want,1978,15.0,"John Travolta, Olivia Newton-John",You're The One That I Want - From “Grease”,71
Scorpions,Wind of Change,1991,15.0,Scorpions,Wind Of Change,79
Gloria Gaynor,I Will Survive,1978,14.0,Gloria Gaynor,I Will Survive - Single Version,67
Prince Nico Mbarga,Sweet Mother,1976,13.0,Prince Nico Mbarga & Rocafil Jazz International,Sweet Mother,36
Kyu Sakamoto,Sukiyaki,1963,13.0,Kyu Sakamoto,Sukiyaki,51
Trio,Da Da Da,1982,13.0,Trio,Da Da Da (I Don't Love You You Don't Love Me Aha Aha Aha),43
Gene Autry,Rudolph the Red-Nosed Reindeer,1949,12.5,Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane),65
The Beatles,I Want to Hold Your Hand,1963,12.0,The Beatles,I Want To Hold Your Hand - Remastered 2015,76
Andrea Bocelli,Time to Say Goodbye,1996,12.0,"Sarah Brightman, Andrea Bocelli",Time To Say Goodbye (Con Te Partirò),59
Village People,Y.M.C.A.,1978,12.0,Village People,Y.M.C.A.,63
Band Aid,Do They Know It's Christmas?,1984,11.7,Band Aid,Do They Know It's Christmas? - 1984 Version,70
Cher,Believe,1998,11.0,Cher,Believe,77
Carl Douglas,Kung Fu Fighting,1974,11.0,Carl Douglas,Kung Fu Fighting,70
George McCrae,Rock Your Baby,1974,11.0,George McCrae,Rock Your Baby,46
Mills Brothers,Paper Doll,1943,11.0,The Mills Brothers,Paper Doll,41
Roger Whittaker,The Last Farewell,1975,11.0,Roger Whittaker,The Last Farewell,30
ABBA,Fernando,1976,10.0,ABBA,Fernando,58
Roy Acuff,Wabash Cannonball,1942,10.0,Roy Acuff,Wabash Cannonball,40
Paul Anka,Diana,1957,10.0,Paul Anka,Diana,57
Toni Braxton,Un-Break My Heart,1996,10.0,Toni Braxton,Un-Break My Heart,71
George Harrison,My Sweet Lord,1970,10.0,George Harrison,My Sweet Lord,77
Los del Río,Macarena,1995,10.0,Los Del Rio,Macarena,61
Middle of the Road,Chirpy Chirpy Cheep Cheep,1971,10.0,Middle Of The Road,Chirpy Chirpy Cheep Cheep,49
The Monkees,I'm a Believer,1966,10.0,The Monkees,I'm a Believer - 2006 Remaster,74
Panjabi MC,Mundian To Bach Ke,1998,10.0,Panjabi MC,Mundian to Bach Ke,44
Patti Page,Tennessee Waltz,1950,10.0,Patti Page,Tennessee Waltz,53
The Penguins,Earth Angel,1954,10.0,The Penguins,Earth Angel (Will You Be Mine),56
Elvis Presley,Hound Dog,1956,10.0,Elvis Presley,Hound Dog,70
Procol Harum,A Whiter Shade of Pale,1967,10.0,Procol Harum,A Whiter Shade of Pale - Original Single Version,68
Britney Spears,...Baby One More Time,1998,10.0,Britney Spears,...Baby One More Time,77
Survivor,Eye of the Tiger,1982,9.0,Survivor,Eye of the Tiger,77
Wings,Mull of Kintyre,1977,9.0,Wings,Mull Of Kintyre - 1993 Digital Remaster,47
Shakira,"Whenever, Wherever",2001,8.5,Shakira,"Whenever, Wherever",73
The Animals,The House of the Rising Sun,1964,8.0,The Animals,House Of The Rising Sun,70
Aqua,Barbie Girl,1997,8.0,Aqua,Barbie Girl,64
The Beatles,Hey Jude,1968,8.0,The Beatles,Hey Jude - Remastered 2015,79
Paul Hardcastle,19,1985,8.0,Paul Hardcastle,19,48
Mary Hopkin,Those Were the Days,1968,8.0,Mary Hopkin,Those Were The Days - Remastered,49
Mahalia Jackson,Move On Up a Little Higher,1948,8.0,Mahalia Jackson,"Move On Up a Little Higher, Pt. 1",21
Ricky Martin,Livin' La Vida Loca,1999,8.0,Ricky Martin,Livin' la Vida Loca,72
Modern Talking,"You're My Heart, You're My Soul",1984,8.0,Modern Talking,"You're My Heart, You're My Soul",62
Nirvana,Smells Like Teen Spirit,1991,8.0,Nirvana,Smells Like Teen Spirit,76
O-Zone,Dragostea Din Tei,2003,8.0,O-Zone,Dragostea Din Tei - Original Italian Version,58
Freddy Quinn,Heimweh,1956,8.0,Freddy Quinn,Heimweh,18
Shocking Blue,Venus,1969,8.0,Shocking Blue,Venus,60
Nelly,Dilemma,2002,7.6,"Nelly, Kelly Rowland",Dilemma,79
Christina Aguilera,Genie in a Bottle,1999,7.0,Christina Aguilera,Genie In a Bottle,73
The Beatles,Can't Buy Me Love,1964,7.0,The Beatles,Can't Buy Me Love - Remastered 2009,66
The Black Crowes,Hard to Handle,1990,7.0,The Black Crowes,Hard To Handle,70
Chic,Le Freak,1978,7.0,CHIC,Le Freak - 2018 Remaster,69
Danyel Gérard,Butterfly,1971,7.0,Danyel Gerard,Butterfly - French Version,21
Las Ketchup,The Ketchup Song (Aserejé),2002,7.0,Las Ketchup,The Ketchup Song (Aserejé) - Spanglish Version,65
Scott McKenzie,San Francisco (Be Sure to Wear Flowers in Your Hair),1967,7.0,Scott McKenzie,San Francisco (Be Sure to Wear Some Flowers In Your Hair),55
Alanis Morissette,Uninvited,1998,7.0,Alanis Morissette,Uninvited,58
Queen,Another One Bites the Dust,1980,7.0,Queen,Another One Bites The Dust - Remastered 2011,76
Julie Rogers,The Wedding,1964,7.0,Julie Rogers,The Wedding,24
Royal Scots Dragoon Guards,Amazing Grace,1972,7.0,The Royal Scots Dragoon Guards,Amazing Grace,41
Roy Orbison,"Oh, Pretty Woman",1964,7.0,Roy Orbison,"Oh, Pretty Woman",74
Spice Girls,Wannabe,1996,7.0,Spice Girls,Wannabe,81
Ricky Valance,Tell Laura I Love Her,1960,7.0,Ricky Valance,Tell Laura I Love Her,26
Culture Club,Do You Really Want to Hurt Me,1982,6.5,Culture Club,Do You Really Want To Hurt Me,64
The Archies,"Sugar, Sugar",1969,6.0,The Archies,"Sugar, Sugar",69
Brotherhood of Man,Save Your Kisses for Me,1976,6.0,Brotherhood of Man,Save Your Kisses For Me,40
Coolio,Gangsta's Paradise,1995,6.0,"Coolio, L.V.",Gangsta's Paradise,81
Bing Crosby,Jingle Bells,1943,6.0,"Bing Crosby, The Andrews Sisters",Jingle Bells,46
Vernon Dalhart,The Prisoner's Song,1924,6.0,Vernon Dalhart,The Prisoner's Song,20
Dawn,Tie a Yellow Ribbon Round the Ole Oak Tree,1973,6.0,"Dawn, Tony Orlando",Tie a Yellow Ribbon Round the Ole Oak Tree (feat. Tony Orlando) - Digitally Remastered 1998,54
Neil Diamond,Cracklin' Rosie,1970,6.0,Neil Diamond,Cracklin' Rosie - Single Version,63
The Jackson 5,I Want You Back,1969,6.0,The Jackson 5,I Want You Back,66
Janet Jackson,Together Again,1997,6.0,Janet Jackson,Together Again,68
Jerry Lee Lewis,Whole Lotta Shakin' Goin' On,1957,6.0,Jerry Lee Lewis,Whole Lotta Shakin' Goin' On,35
Madonna,Vogue,1990,6.0,Madonna,Vogue,67
George Michael,Careless Whisper,1984,6.0,George Michael,Careless Whisper,77
