Artist,Single,Release Year,Sales (in millions)
Ed Sheeran,Shape of You,2017,41.5
Luis Fonsi featuring Daddy Yankee,Despacito,2017,36.1
The Chainsmokers and Coldplay,Something Just like This,2017,21.5
Ed Sheeran,Perfect,2017,21.4
Wiz Khalifa featuring Charlie Puth,See You Again,2015,20.9
The Chainsmokers feat. Halsey,Closer,2016,20.7
Mark Ronson featuring Bruno Mars,Uptown Funk,2014,20
Ed Sheeran,Thinking Out Loud,2014,19.5
Camila Cabello featuring Young Thug,Havana,2017,19
Carly Rae Jepsen,Call Me Maybe,2011,18
Drake,God's Plan,2018,15.3
Robin Thicke featuring T.I. and Pharrell,Blurred Lines,2013,14.8
Lady Gaga,Poker Face,2008,14
Pharrell Williams,Happy,2013,13.9
Psy,Gangnam Style,2012,13.5
Maroon 5,Sugar,2015,13.5
Macklemore and Ryan Lewis featuring Wanz,Thrift Shop,2012,13.4
Katy Perry featuring Juicy J,Dark Horse,2013,13.2
Major Lazer & DJ Snake featuring MØ,Lean On,2015,13.1
Gotye featuring Kimbra,Somebody That I Used to Know,2011,13
Kesha,TiK ToK,2009,12.8
Ellie Goulding,Love Me like You Do,2015,12.6
Drake featuring Wizkid and Kyla,One Dance,2016,12.5
Bruno Mars,Just the Way You Are,2010,12.5
Adele,Hello,2015,12.3
John Legend,All of Me,2013,12.3
Jason Mraz,I'm Yours,2008,12.2
Flo Rida featuring Kesha,Right Round,2009,12
Flo Rida featuring T-Pain,Low,2007,12
Lady Gaga,Bad Romance,2009,12
Maroon 5 featuring Cardi B,Girls Like You,2018,11.9
Justin Bieber,Love Yourself,2015,11.7
Avicii featuring Aloe Blacc,Wake Me Up,2013,11.1
Sia feat. Sean Paul,Cheap Thrills,2016,11.1
Meghan Trainor,All About That Bass,2014,11
Tia Ray,Be Apart,2018,10.9
Idina Menzel,Let It Go,2013,10.9
Justin Bieber,Sorry,2015,10.8
Rihanna featuring Drake,Work,2016,10.6
Lukas Graham,7 Years,2015,10.4
Bruno Mars,Grenade,2010,10.2
The Chainsmokers featuring Daya,Don't Let Me Down,2016,10.2
Lorde,Royals,2013,10
Nicki Minaj,Super Bass,2011,10
Mike Posner,I Took a Pill in Ibiza,2015,10
Shakira featuring Freshlyground,Waka Waka (This Time for Africa),2010,10
Shakira featuring Wyclef Jean,Hips Don't Lie,2006,10
Lady Gaga featuring Colby O'Donis,Just Dance,2008,10
Twenty One Pilots,Stressed Out,2015,9.9
P!nk featuring Nate Ruess,Just Give Me a Reason,2013,9.9
Katy Perry,Roar,2013,9.9
Bruno Mars,That's What I Like,2017,9.7
Marshmello and Anne-Marie,Friends,2018,9.6
fun. featuring Janelle Monáe,We Are Young,2011,9.6
Pitbull featuring Kesha,Timber,2013,9.6
Eminem featuring Rihanna,Love the Way You Lie,2010,9.3
Daft Punk featuring Pharrell Williams and Nile Rodgers,Get Lucky,2013,9.3
Post Malone featuring Ty Dolla Sign,Psycho,2018,9.2
Taylor Swift,Blank Space,2014,9.2
Maroon 5,Payphone,2012,9.1
Iggy Azalea featuring Charli XCX,Fancy,2014,9.1
Lil Wayne featuring Static Major,Lollipop,2008,9.1
Ariana Grande featuring Iggy Azalea,Problem,2014,9
Madonna,Hung Up,2005,9
Thelma Aoyama,Soba ni Iru ne,2008,8.7
Imagine Dragons,Radioactive,2012,8.6
Magic!,Rude,2014,8.6
Black Eyed Peas,Boom Boom Pow,2009,8.5
Jennifer Lopez featuring Pitbull,On the Floor,2011,8.4
Kendrick Lamar,Humble,2017,8.3
Charlie Puth,Attention,2017,8.3
Bruno Mars,When I Was Your Man,2013,8.3
OMI,Cheerleader,2014,8.3
Adele,Rolling in the Deep,2010,8.2
Lady Gaga,Born This Way,2011,8.2
"Pitbull featuring Ne-Yo, Afrojack, and Nayer",Give Me Everything,2011,8.2
Jason Derulo,Want to Want Me,2015,8.1
will.i.am featuring Britney Spears,Scream & Shout,2012,8.1
Utada Hikaru,Flavor of Life,2007,8
"Enrique Iglesias featuring Sean Paul, Descemer Bueno and Gente de Zona",Bailando,2014,8
"DJ Khaled featuring Justin Bieber, Quavo, Chance the Rapper and Lil Wayne",I'm the One,2017,7.9
Rihanna featuring Mikky Ekko,Stay,2013,7.9
Imagine Dragons,Believer,2017,7.8
Leona Lewis,Bleeding Love,2008,7.7
Greeeen,Kiseki,2008,7.6
Busker Busker,Cherry Blossom Ending,2012,7.5
Lady Gaga featuring Beyoncé,Telephone,2010,7.4
Black Eyed Peas,The Time (Dirty Bit),2010,7.3
Avril Lavigne,Girlfriend,2007,7.3
Michel Teló,Ai Se Eu Te Pego,2011,7.2
Nicki Minaj,Starships,2012,7.2
Exile,Lovers Again,2007,7
Hilcrhyme,Shunkash_t_,2009,7
Maroon 5 featuring Christina Aguilera,Moves like Jagger,2011,7
Maroon 5,One More Night,2012,6.9
Usher featuring will.i.am,OMG,2010,6.9
Katy Perry,California Gurls,2010,6.7
Flo Rida,Whistle,2012,6.6
Train,"Hey, Soul Sister",2009,6.6
Rihanna featuring Jay Z,Umbrella,2007,6.6
