Artist,Single,Release Year,Sales (in millions)
Bing Crosby,White Christmas,1942,50
Elton John,Candle in the Wind 1997 / Something About the Way You Look Tonight,1997,33
Mungo Jerry,In the Summertime,1970,30
Bing Crosby,Silent Night,1935,30
Bill Haley & His Comets,Rock Around the Clock,1954,25
Whitney Houston,I Will Always Love You,1992,20
Elvis Presley,It's Now or Never,1960,20
USA for Africa,We Are the World,1985,20
The Ink Spots,If I Didn't Care,1939,19
Baccara,"Yes Sir, I Can Boogie",1977,18
Celine Dion,My Heart Will Go On,1997,18
Mariah Carey,All I Want for Christmas Is You,1994,16
Bryan Adams,(Everything I Do) I Do It for You,1991,15
John Travolta and Olivia Newton-John,You're the One That I Want,1978,15
Scorpions,Wind of Change,1991,15
Gloria Gaynor,I Will Survive,1978,14
Prince Nico Mbarga,Sweet Mother,1976,13
Kyu Sakamoto,Sukiyaki,1963,13
Trio,Da Da Da,1982,13
Gene Autry,Rudolph the Red-Nosed Reindeer,1949,12.5
The Beatles,I Want to Hold Your Hand,1963,12
Andrea Bocelli and Sarah Brightman,Time to Say Goodbye,1996,12
Village People,Y.M.C.A.,1978,12
Band Aid,Do They Know It's Christmas?,1984,11.7
Cher,Believe,1998,11
Carl Douglas,Kung Fu Fighting,1974,11
George McCrae,Rock Your Baby,1974,11
Mills Brothers,Paper Doll,1943,11
Roger Whittaker,The Last Farewell,1975,11
ABBA,Fernando,1976,10
Roy Acuff,Wabash Cannonball,1942,10
Paul Anka,Diana,1957,10
Toni Braxton,Un-Break My Heart,1996,10
George Harrison,My Sweet Lord,1970,10
Los del Río,Macarena,1995,10
Middle of the Road,Chirpy Chirpy Cheep Cheep,1971,10
The Monkees,I'm a Believer,1966,10
Panjabi MC,Mundian To Bach Ke,1998,10
Patti Page,Tennessee Waltz,1950,10
The Penguins,Earth Angel,1954,10
Elvis Presley,Hound Dog,1956,10
Procol Harum,A Whiter Shade of Pale,1967,10
Britney Spears,...Baby One More Time,1998,10
Survivor,Eye of the Tiger,1982,9
Wings,Mull of Kintyre,1977,9
Shakira,"Whenever, Wherever",2001,8.5
The Animals,The House of the Rising Sun,1964,8
Aqua,Barbie Girl,1997,8
The Beatles,Hey Jude,1968,8
Paul Hardcastle,19,1985,8
Mary Hopkin,Those Were the Days,1968,8
Mahalia Jackson,Move On Up a Little Higher,1948,8
Ricky Martin,Livin' La Vida Loca,1999,8
Modern Talking,"You're My Heart, You're My Soul",1984,8
Nirvana,Smells Like Teen Spirit,1991,8
O-Zone,Dragostea Din Tei,2003,8[a]
Freddy Quinn,Heimweh,1956,8
Shocking Blue,Venus,1969,8
Nelly and Kelly Rowland,Dilemma,2002,7.6
Christina Aguilera,Genie in a Bottle,1999,7
The Beatles,Can't Buy Me Love,1964,7
The Black Crowes,Hard to Handle,1990,7
Chic,Le Freak,1978,7
Danyel Gérard,Butterfly,1971,7
Las Ketchup,The Ketchup Song (Aserejé),2002,7
Scott McKenzie,San Francisco (Be Sure to Wear Flowers in Your Hair),1967,7
Alanis Morissette,Uninvited,1998,7
Queen,Another One Bites the Dust,1980,7
Julie Rogers,The Wedding,1964,7
Royal Scots Dragoon Guards,Amazing Grace,1972,7
Roy Orbison,"Oh, Pretty Woman",1964,7
Spice Girls,Wannabe,1996,7
Ricky Valance,Tell Laura I Love Her,1960,7
Culture Club,Do You Really Want to Hurt Me,1982,6.5
The Archies,"Sugar, Sugar",1969,6
Brotherhood of Man,Save Your Kisses for Me,1976,6
Coolio featuring L.V.,Gangsta's Paradise,1995,6
Bing Crosby and The Andrews Sisters,Jingle Bells,1943,6
Vernon Dalhart,The Prisoner's Song,1924,6
Dawn featuring Tony Orlando,Tie a Yellow Ribbon Round the Ole Oak Tree,1973,6
Neil Diamond,Cracklin' Rosie,1970,6
The Jackson 5,I Want You Back,1969,6
Janet Jackson,Together Again,1997,6
Jerry Lee Lewis,Whole Lotta Shakin' Goin' On,1957,6
Madonna,Vogue,1990,6
George Michael,Careless Whisper,1984,6
The New Seekers,I'd Like to Teach the World to Sing (In Perfect Harmony),1971,6
Tony Orlando and Dawn,Knock Three Times,1970,6
Elvis Presley,Don't Be Cruel,1956,6
Queen,Bohemian Rhapsody,1975,6
Harry Simeone Chorale,The Little Drummer Boy,1958,6
Simon & Garfunkel,Bridge over Troubled Water,1970,6
Bonnie Tyler,It's a Heartache,1977,6
Bonnie Tyler,Total Eclipse of the Heart,1983,6
Tino Rossi,Petit Papa Noël,1946,5.7
"Christina Aguilera, Lil' Kim, Mýa and Pink",Lady Marmalade,2001,5.5
1910 Fruitgum Company,Simon Says,1967,5
ABBA,Waterloo,1974,5
Gene Austin,My Blue Heaven,1927,5
Gene Autry,That Silver-Haired Daddy of Mine,1935,5
